0,0.705415517,0.685165517,0.711098397,0.015248276,,,,,,200,,,,,300,,,,,400,,,,,500,,,,,600,,,,,,700,,,,,800
100,0.920098276,0.900996552,0.925912069,0.043284483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,1.177136207,1.158753448,1.184015517,0.076165517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,1.452572414,1.435381034,1.465458621,0.109001724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,1.719522414,1.703781034,1.730924138,0.144310345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,1.980306897,1.964639655,1.9958,0.175934483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,2.247313793,2.232393103,2.266367241,0.208862069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,2.518387931,2.504865517,2.539251724,0.243134483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,2.789424138,2.77612931,2.811456897,0.277374138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,a,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,379.5779242,-254.1467792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,378.3120511,-245.7410574,,,379.5779242,378.3120511,376.2891849,3028.588266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,376.2891849,-253.5007837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,3028.588266,-35.21335546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,-254.1467792,-245.7410574,-253.5007837,-35.21335546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
